,01,02,03,04,05,019,032,036,037,038,0250,P3,P4,P42,P45,P75,1,13,18,22,33,69,79,343,362,372,Es
1:53,-1,ημων,αυτων,του δουναι γνω σωτηριασ τω λαω αυτου εν αφεσει αμαρτιων η ,αυτων,-1,-1,-1,-1,-1,-1,-1,αυτων,-1,-1,-1,ημων,αυτων,αυτων,ημων,αυτων,του δουναι γνω σωτηριασ τω λαω αυτου εν αφεσει αμαρτιων αυ ,-1,αυτων,-1,αυτων,αυτων
1:54,-1,το δε παιδιον ηυξανεν και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδιξεωσ αυτου προσ τον ιηλ ,ισραηλ,το δε πα ηυξανε και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδεξεωσ αναδειξεωσ αυτου προσ τον ιηλ ,ισραηλ,-1,-1,-1,-1,-1,-1,-1,ισραηλ,-1,-1,-1,το δε παιδιον ηυξανεν και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδειξεωσ αυτου προσ τον ιηλ ,το δε παιδιον ηυξα και εκραταιουτο πνι και ην εν ταισ ε εωσ ημερασ αναδειξεωσ αυτου προσ τον ιηλ ,το δε παιδιον ηυξανε και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδειξεωσ αυτου προσ τον ιηλ ,το δε παιδιον ηυξανεν και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδειξεωσ αυτου προσ τον ιηλ ,το δε παιδιον ηυξανεν και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδει αυτου προσ τον ιηλ ,το δε παιδιον ηυξανε και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδειξεωσ αυτου προσ τον ιηλ ,-1,το δε παιδιον ηυξανε και εκραταιουτο πνι και ην εν ταισ ερημοισ εωσ ημερασ αναδει αυτου προσ τον ιηλ ,-1,ισραηλ,ισραηλ
10:1,-1,δυο,δυο δυο,δυο,δυο,-1,-1,-1,-1,-1,-1,-1,-1,-1,δυο,μετα δε ταυτ ενεδειξεν ο κυριοσ ετερουσ οβ και απεστει ανα β προ προσωπου αυτου εισ πν πο κ τοπον ου ημελλεν αυτοσ ερχεσθαι ,δυο,δυο δυο,δυο,δυο,δυο,δυο δυο,-1,δυο,δυο,δυο,δυο
10:2,-1,αυτου,αυτου,αυτου,αυτου,-1,-1,-1,-1,-1,-1,-1,-1,-1,αυτου,αυτου,εαυτου,αυτου,αυτου,αυτου,αυτου,αυτου,-1,εαυτου,αυτου,αυτου,αυτου
10:3,-1,ημελλεν,ημελλεν,ημελλεν,εμελλεν,-1,-1,-1,-1,-1,-1,-1,-1,-1,μετα δε ταυτα ανε ο κυριοσ ετερουσ οβ και απεστειλεν αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν ,ημελλεν,εμελλεν,ημελλεν,εμελλεν,ημελλεν,ημελλεν,ημελλεν,-1,ημελλεν,εμελλεν,ημελλεν,εμελλεν
10:4,-1,ερχεσθαι,ερχεσθαι,ερχεσθαι,ερχεσθαι,-1,-1,-1,-1,-1,-1,-1,-1,-1,μετα δε ταυτα ανε ο κυριοσ ετερουσ οβ και απεστειλεν αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν ,ερχεσθαι,ερχεσθαι,μετα δε ταυτα ανεδει ξεν ο κυριοσ και ετερουσ εβδομηκοντα και α αυτουσ ανα δυο δυο προ προσω αυτου εισ πασαν πολιν και τοπον ου ημελλεν αυτοσ διερχε ,ερχεσθαι,ερχεσθαι,ερχεσθαι,διερχεσθαι,-1,ερχεσθαι,ερχεσθαι,ερχεσθαι,ερχεσθαι
10:5,-1,εισερχεσθαι,με δε ταυτα ανεδει ο κυριοσ ετερουσ εβδο δυο και απε ανα δυο δυο προ προσωπου αυτου εισ πασαν πολιν και τοπον ου ημελλεν αυ ερχεσθαι ,μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβδομηκοντα και απεστει αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν πολιν και τοπον ου ημελλεν αυτοσ ερχεσθαι ,απεδειξεν δε και ετερουσ οβ και απεστιλεν αυτουσ ανα δυο προ προσωπου αυτου εισ παντα τοπον και πολιν ου εμελλεν ερχεσθαι ,-1,-1,-1,-1,-1,-1,-1,-1,-1,μετα δε ταυτα ανε ο κυριοσ ετερουσ οβ και απεστειλεν αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν ,μετα δε ταυτ ενεδειξεν ο κυριοσ ετερουσ οβ και απεστει ανα β προ προσωπου αυτου εισ πν πο κ τοπον ου ημελλεν αυτοσ ερχεσθαι ,εισερχεσθαι,μετα δε ταυτα ανεδει ξεν ο κυριοσ και ετερουσ εβδομηκοντα και α αυτουσ ανα δυο δυο προ προσω αυτου εισ πασαν πολιν και τοπον ου ημελλεν αυτοσ διερχε ,μετα δε ταυτα α ο κυριοσ και ετερουσ εβδομηκοντα και απεστειλεν αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν πολιν και τοπον ου εμελλεν αυτοσ ερχεσθαι ,μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβδομηκοντα και απεστειλεν αυτουσ ανα δυο προ προ αυτου εισ πασαν πολιν και τοπον ου ημελλεν αυτοσ ερχεσθαι ,μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβδομηκοντα δυο και απ αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν πολιν και τοπον ου ημελλεν αυτο ερχεσθαι ,μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβ και απεστειλεν αυτουσ ανα δυο δυο προ προσωπου αυτου εισ πασαν πολιν και το ου ημελλεν αυτοσ διερχεσθαι ,-1,μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβδομηκοντα και απεστειλεν αυτουσ ανα δυο προ προσωπου εαυτου εισ πασαν πολιν και χωραν ου ημελλεν αυτοσ ερχεσθαι ,μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβδομηκοντα και απεστειλεν αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν πολι και τοπον ου εμελλεν αυτοσ ερχεσθαι ,μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβδομηκοντα δυο και απεστειλεν αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν πολιν και τοπον ου ημελλεν αυτοσ ερχεσθαι ,1μετα δε ταυτα ανεδειξεν ο κυριοσ και ετερουσ εβδομηκοντα και απεστειλεν αυτουσ ανα δυο προ προσωπου αυτου εισ πασαν πολιν και τοπον ου εμελλεν αυτοσ ερχεσθαι
10:6,-1,ελεγεν,ελεγεν,ελεγεν,ελεγεν,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ελεγεν,ειπεν,ελεγεν,ελεγεν,ελεγεν,ελεγεν,ελεγε δε προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε ερ ολιγοι δεηθητε ουν του κυριου του θερισμου οπωσ εκβαλλη εργατασ εισ τον θερισμον αυτου ,-1,ελεγεν,ελεγεν,ελεγεν,ελεγεν
10:7,-1,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργα ολιγοι δεηθητε ουν του κυριου του θερισμου οπωσ εκ εργατασ εισ τον θερισμον αυτου ,ελεγεν ελεγε δε προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθη ουν του κυριου του θε οπωσ εργατασ εκβαλη εισ τον θερισμον αυτου ,ελεγεν δε προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε ερ ολιγοι δεηθητε ουν του κυριου του θερισμου οπωσ εκβαλη εργατασ εισ τον θερισμον αυτου ,ελεγεν δε προσ αυτουσ ο θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε του θεου κυριου του θερισμου οπωσ εργατασ εκβαλη εισ τον θερισμον αυτου ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ελεγεν δε προσ αυτουσ ο μεν θερισμοσ πολυσ οι δ εργαται ολιγοι δεθητ ουν του κυριου του θερισμου οπωσ ε εκβαλη εισ τον θερισμον αυτου ,ειπεν,ελεγεν δε προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου οπωσ εκβαλη εργατασ εισ τον θερισμον αυτου ,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου οπωσ εκβαλη εργατασ εισ τον θερισμον αυτου ,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε ερ ολιγοι δεηθητε ουν του κυριου του θε οπωσ εκβαληι εργατασ εισ τον θερισμον αυτου ,ελεγεν δε προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθη ουν του κυριου του θερισμου οπωσ εκβαλη εργατασ εισ τον θερισμον αυτου ,ελεγε δε προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε ερ ολιγοι δεηθητε ουν του κυριου του θερισμου οπωσ εκβαλλη εργατασ εισ τον θερισμον αυτου ,-1,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ο δεηθητε ουν του κυριου του θερισμου οπωσ εκβαλη εργατασ εισ τον θερι αυτου ,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου ινα εκβαλλη εργατασ εισ τον θερισμον αυτου ,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου αυτου οποσ εκβαλλη οργατασ εισ τον θερισμον αυτου ,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου οπωσ εκβαλλη εργατασ εισ τον θερισμον αυτου
10:8,-1,οπωσ,οπωσ,οπωσ,οπωσ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,οπωσ,οπωσ,οπωσ,οπωσ,οπωσ,οπωσ,οπωσ,-1,οπωσ,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου ινα εκβαλλη εργατασ εισ τον θερισμον αυτου ,ελεγεν ουν προσ αυτουσ ο μεν θερισμοσ πολυσ οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου αυτου οποσ εκβαλλη οργατασ εισ τον θερισμον αυτου ,οπωσ
10:9,-1,προβατα,αρνασ,αρνασ,αρνασ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,υπαγετε ιδου αποστελλω υ ωσ α εν μεσω λυ ,αρνασ,αρνασ,αρνασ,αρνασ,αρνασ,αρνασ,-1,αρνασ,αρνασ,αρνασ,αρνασ
10:10,-1,μη,μη,μη,μη,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,μη,μη,μη,μη,μη,μη,μητε,-1,μη,μη,μη,μη
10:11,-1,μηδε,μηδε,μηδε,μηδε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,μηδε,μηδε,μηδε,μηδε,μηδε,μηδε,μηδε,-1,μηδε,μηδε,μηδε,μηδε
10:12,-1,μη βασταζε βαλλαντιον μη πηραν μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζε βαλλαντιον μη πη μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλλαντιον μη πηραν μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλλαντιον μη πηραν μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,μη βασταζετε βαν μη πηραν μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλλαντιον μη πηραν μη υποδηματα και μηδενα κατα την ο ασπασησθε ,μη βασταζετε βαλλαν μη πηραν μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλαντιον μη πηραν μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλλαντια μη πηραν μηδε υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλλαντιον μη πηραν μη υποδη μηδενα κατα την οδον ασπασησθε ,μητε,-1,μη βασταζετε βαλλαντιον μη πηραν μη υποδηματα και μηδενα κατα την οδον ασπασησθε ,και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλαντιον μη πηραν μη δε υποδηματα και μηδενα κατα την οδον ασπασησθε ,μη βασταζετε βαλαντιον μη πηραν μηδε υποδηματα και μηδενα κατα την οδον ασπασησθε
10:13,-1,εισερχησθε,εισελθητε,εισελθητε,εισελθητε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εισελθητε,εισ ην δ αν οικιαν ει πρωτον λεγετε ειρηνη τω οικω τουτω ,εισελθητε,εισερχησθε,εισερχησθε,εισελθητε,εισελθητε,-1,εισ ην δ αν οικιαν εισερ πρωτον λεγετε ειρηνη τω οικω τουτω ,εισερχησθε,εισελθητε,εισερχησθε
10:14,-1,ειρηνη,ειρηνη,ειρηνη,ειρηνη,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εισ ην δ αν εισελθητε οικιαν πρω λεγετ ειρην τω οικω του ,ειρηνη,ειρηνη εν,ειρηνη,ειρηνη,εισ ην δ αν εισελθητε οικιαν πρωτον λεγετε ειρην τω οικω τουτω ,ειρηνη εν,-1,ειρηνη,ειρηνη,ειρηνη,ειρηνη
10:15,-1,εαν,εαν,εαν,καν η εκει υιοσ ειρηνησ επαναπαυσετε επ αυτον η ειρηνη υμων ει δε μη γε εφ υμασ επιστρεψει η ειρηνη υμων ,-1,-1,-1,-1,-1,-1,-1,-1,-1,εαν,εαν,εαν,εαν,εαν μεν,εαν,εαν,εαν,-1,εαν,εαν,εαν μεν,εαν μεν
10:16,-1,εφ,εφ,εφ,εφ,-1,-1,-1,-1,-1,-1,-1,-1,-1,εφ,εφ,εφ,προσ,εφ,εφ,εφ,προσ,-1,εφ,εφ,εφ,εφ
10:17,-1,οικιαν,οικιασ,οικιαν,οικιαν,-1,-1,-1,-1,-1,-1,-1,-1,-1,οικιασ,οικιαν,οικιαν,οικιαν,οικιαν,οικιαν,οικιαν,οικιαν,-1,οικιαν,οικιαν,οικιαν,οικιαν
10:18,-1,ην,ην,ην,ην,-1,-1,-1,-1,-1,-1,-1,-1,-1,εισ η εαν πολιν ειησθε και δεχωνται υμασ εσθτ τα παρα υμι ,ην,ην,ην,ην,ην,ην,ην,-1,ην,ην,ην,ην
10:19,-1,και εισ ην δ αν πολιν εισερχησθαι και δεχων υμασ εσθιετε τα παρατι υμιν ,εισερχησθε,εισερχησθε,εισερχησθε,-1,-1,-1,-1,-1,-1,-1,-1,-1,εισ η εαν πολιν ειησθε και δεχωνται υμασ εσθτ τα παρα υμι ,και εισ ην αν πολιν ειση και δεχωντα υμασ εσθιετε τα παρατι θεμενα υμιν ,εισερχησθε,εισερχησθε,εισερχησθε,εισερχησθε,εισερχησθε,και ησ εισ ην αν πολιν εισερ και δεχονται υμασ εσθιετε τα παρατι υμιν ,-1,εισερχησθε,εισερχησθε,εισερχησθε,εισερχησθε
10:20,-1,εισερχησθε,εισελθητε,εισελθητε,εισελθητε,-1,-1,-1,-1,-1,-1,-1,-1,-1,εισ ην δ αν πολιν εισελθη και μη δεχωνται υμ εξελθοντε εισ τασ πλατειασ αυτησ ειπατε ,εισ ην δ αν πολιν εισελθη και μη δεχωνται υμασ εξελθον εισ τασ πλατειασ αυτησ ειπατε ,εισελθητε,εισελθητε,εισερχησθε,εισερχησθε,εισελθητε,εισελθητε,-1,εισερχησθε,εισερχησθε,εισερχησθε,εισερχησθε
10:21,-1,υμιν,υμιν,υμιν,και τον κονιορτον τον κολληθεντα ημειν υμειν εκ τησ πολεωσ υμων εισ τουσ ποδασ απομασσομεθα υμειν πλην τουτο γεινωσκετε οτι ηγγικεν η η βασιλεια του θεου ,-1,-1,-1,-1,-1,-1,-1,-1,-1,ημιν,ημιν,υμιν,υμιν,υμιν,υμιν,υμιν,υμιν,-1,υμιν,υμιν,υμιν,υμιν
10:22,-1,εισ τουσ ποδασ,εισ τουσ ποδασ,εισ τουσ ποδασ,εισ τουσ ποδασ,-1,-1,-1,-1,-1,-1,-1,-1,-1,εισ τουσ ποδασ,εισ τουσ ποδασ,εισ τουσ ποδασ,εισ τουσ ποδασ,και τον κονιορτον τον κολλη ημιν εκ τησ πολεωσ υμων απομασσομεθα υμιν πλην τουτο γινωσκετε οτι ηγγικεν εφ υμασ η βασιλεια του θεου ,εισ τουσ ποδασ,εισ τουσ ποδασ,εισ τουσ ποδασ,-1,εισ τουσ ποδασ,και τον κονιορτον τον κολληθεντα ημιν εκ τησ πολεωσ υμων απομασσομεθα υμιν πλην τουτο γινωσκετε οτι ηγγικεν εφ υμασ η βασιλεια του θεου ,και τον κονιορτον τον κολληθεντα ημιν εκ τησ πολεωσ υμων απομασσομεθα υμιν πλην τουτο γινωσκετε οτι ηγγικεν εφυμασ η βασιλεια του θεου ,και τον κονιορτον τον κολληθεντα ημιν εκ τησ πολεωσ υμων απομασσομεθα υμιν πλην τουτο γινωσκετε οτι ηγγικεν εφ υμασ η βασιλεια του θεου
10:23,-1,λεγω,λεγω,λεγω,λεγω δε,-1,-1,-1,-1,-1,-1,-1,-1,-1,λεγω,λε υμιν οτι σοδομοισ εν τη η εκεινη ανεκτοτερον εσται η τη πολει εκεινη ,λεγω,λεγω,λεγω,λεγω δε,λεγω,λεγω,-1,λεγω,λεγω δε,λεγω δε,λεγω δε
10:24,-1,ανεκτοτερον εσται εν τη ημερα εκεινη,λεγω υμιν οτι σοδομοισ εν τη ημερα εκεινη ανε εσται η τη πολει εκεινη ,λεγω υμιν οτι σοδομοισ εν τη ημερα εκεινη ανεκτο εσται η τη πολει εκεινη ,λεγω δε υμειν οτι σοδομοισ ανεκτοτερον εσται εν τη βασιλεια του θεου η τη πολει εκεινη ,-1,-1,-1,-1,-1,-1,-1,-1,-1,λεγω υμιν οτι σοδομοισ εν τηι ημ εκεινηι αν εσται η τηι πολει εκεινηι ,λε υμιν οτι σοδομοισ εν τη η εκεινη ανεκτοτερον εσται η τη πολει εκεινη ,λεγω υμιν οτι σοδομοισ εν τη ημερα εκεινηι ανεκτο εσται η τηι πολει εκεινη ,λεγω υμιν οτι σοδο ανεκτοτερον ε σται εν τη ημερα εκεινη η τη πολη εκεινη ,εν τη ημερα εκεινη ανεκτοτερον εσται,λεγω δε υμιν οτι σοδομοισ εν τηι ημεραι εκεινηι ανεκτοτερον εσται η τηι πολει ε ,εν τη ημερα εκεινη ανεκτοτερον εσται,ανεκτοτερον εσται εν τη ημερα εκεινη,-1,λεγω υμιν οτι σοδομοισ εν τη ημερα εκεινη ανεκτοτερον ε η τη πολει εκεινη ,εν τη ημερα εκεινη ανεκτοτερον εσται,εν τη ημερα εκεινη ανεκτοτερον εσται,εν τη ημερα εκεινη ανεκτοτερον εσται
10:25,-1,ουαι σοι χοραζειν ουαι σοι βηδσαιδα οτι ει εν τυρω και σειδωνι εγενοντο αι δυνα αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω καθημενοι μετενοησαν ,βηθσαιδα,βηθσαιδα,ουαι σοι χοροζαιν και βηδσαιδα οτι ει εν τυρω και σιδωνι εγενηθησαν αι δυναμεισ αι γενομεναι εν υμειν παλαι αν εν σακκω και σποδω καθημεναι μετενοησαν ,-1,-1,-1,-1,-1,-1,-1,-1,-1,βηθσαιδαν,ουαι σοι χοραζειν ουαι σοι βηδσαιδα οτι ει εν τυρω και σιδονι εγεννηθησαν αι δυνα αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω καθημε μετενοησαν ,βηθσαιδαν,βηθσαιδαν,βηθσαιδα,ουαι σοι χοραζιν ουαι σοι βηθσα οτι ει εν τυρωι και σιδωνι εγενον αι δυναμεισ αι γενομεναι εν υμιν πα αν εν σακκωι και σποδωι καθημεναι μετενοησαν ,βηθσαιδα,ουαι σοι χωραζην ουαι σοι βιθσαιδαν οτι ει εν τυρω και σιδωνη εγενηθησαν αι δυναμεισ αι γινωμεναι εν υμιν παλαι αν εν σα και σποδω καθημενοι μετενοησαν ,-1,βηθσαιδαν,ουαι σοι χωραζιν ουαι σοι βιθσαιδα οτι ει εν τυρω και σιδωνι εγενοντο αι δυναμεισ αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω καθημενοι μετενοησαν ,βηθσαιδα,βηθσαιδα
10:26,-1,εγενοντο,ου σοι χοραζειν ουαι σοι βηδσαιδα βηθσαιδα οτι ει εν τυρω και σειδωνι σιδωνι εγε αι δυναμεισ αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω καθημενοι με ,εγενοντο,εγενηθησαν,-1,-1,-1,-1,-1,-1,-1,-1,-1,ουαι σοι χοραζειν ουαι σοι βηθσαιδαν οι εν τυρωι και σειδωνι εγεησα αι δυναμεισ αι γενο εν υμιν παλαι αν εν σακκωι κ σποδωι καθημεναι μετενοησαν ,ουαι σοι χοραζειν ουαι σοι βηδσαιδα οτι ει εν τυρω και σιδονι εγεννηθησαν αι δυνα αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω καθημε μετενοησαν ,εγενοντο,ουαι σοι χοραζειν ου σοι βηθσαιδαν οτι ει εν τηρω και σιδωνη εγε αι δυναμεισ αι γενομεναι εν υμιν πα αν εν σακκω και σπο καθημενοι μετενο ,εγενοντο,ουαι σοι χοραζιν ουαι σοι βηθσα οτι ει εν τυρωι και σιδωνι εγενον αι δυναμεισ αι γενομεναι εν υμιν πα αν εν σακκωι και σποδωι καθημεναι μετενοησαν ,εγενηθησαν,εγενηθησαν,-1,εγενοντο,εγενοντο,εγενοντο,εγενοντο
10:27,-1,πλην τυρω και σιδωνι ανε εσται εν τη κρισει η υμιν ,πλην τυρω και σειδωνι σιδωνι ανεκτο εσται εν τη κρι η υμιν ,ανεκτοτερον εσται εν τη κρισει,πλην τυρω και σιδωνι ανεκτοτερον εσται ημειν υμειν ,-1,-1,-1,-1,-1,-1,-1,-1,-1,πλην τυρωι και σεδω ανεκτοτερον εσται η υμιν ,ανεκτοτερον εσται εν τη κρισει,πλην τυρω και σιδωνι εν τηι κρισει ανεκτο εσται η υμιν ,πλην τυρω και σι ανεκτοτερον εσται εν ημερα κρισεωσ η υμιν ,πλην τυρω και σιδωνι α εσται εν τη κρισει η υμιν ,πλην τυρωι και σιδωνι ανε εσται εν τηι κρισει η υμιν ,ανεκτοτερον εσται εν τη κρισει,πλην τυ και σιδονη ανεκτοτερον εσται εν ημερα κρισεωσ η υμιν ,-1,πλην τυρω και σιδωνι ανε κτοτερον εσται εν τη κρισει η υμιν ,ανεκτοτερον εσται εν τη κρισει,ανεκτοτερον εσται εν τη κρισει,ανεκτοτερον εσται εν τη κρισει
10:28,-1,εν τη κρισει,πλην τυρω και σειδωνι σιδωνι ανεκτο εσται εν τη κρι η υμιν ,εν τη κρισει,πλην τυρω και σιδωνι ανεκτοτερον εσται ημειν υμειν ,-1,-1,-1,-1,-1,-1,-1,-1,-1,πλην τυρωι και σεδω ανεκτοτερον εσται η υμιν ,εν τη κρισει,πλην τυρω και σιδωνι εν τηι κρισει ανεκτο εσται η υμιν ,εν ημερα κρισεωσ,εν τη κρισει,πλην τυρωι και σιδωνι ανε εσται εν τηι κρισει η υμιν ,εν τη κρισει,εν ημερα κρισεωσ,-1,εν τη κρισει,εν τη κρισει,εν τη κρισει,εν τη κρισει
10:29,-1,υψωθεισα,και συ καφαρ μη η μη εωσ του ουρα υψωθηση υψωθησει υψωθηση εωσ του αδου καταβηση ,υψωθεισα,και συ καφαρναουμ μη εωσ ουρανου υψωθηση η εωσ αδου καταβηση ,-1,-1,-1,-1,-1,-1,-1,-1,-1,και συ καφαρναυ μη εωσ ου υψωθηση και εωσ α καταβιβασθηση ,και συ καφαρα μη εωσ ουρανου υψωθη εωσ του αδου καταβηση ,και συ καπερναουμ η εω του ουρανου υψωθηση η εωσ αδου καταβιβασθηση ,υψωθεισα,υψωθεισα,και συ καπερναουμ η εωσ του ουρανου υψω η εωσ αιδου καταβιβασθησηι ,και συ καφαρναουμ η εωσ του ουρανου υψωθησα εωσ αδου καταβιβασθηση ,και συ καπερναουμ η εωσ του ουρανου υψωθη εωσ αδου καταβιβασθησα ,-1,και συ καπερναουμ η εωσ του ουρανου υ εωσ αδου καταβιβασθηση ,υψωθεισα,υψωθεισα,υψωθεισα
10:30,-1,υμων ακουων,ο α υμων εμου α και ο αθετων υ εμε αθετει ο δε ε αθετων αθετει τον αποστειλαντα με ,ακουων υμων,ακουων υμων,-1,-1,-1,-1,-1,-1,-1,-1,-1,ο αου υμων εμ ακουει και ο υμασ αθετ εμε αθετ ο εμε αθετων αθετει τον αποστειλαντα με ,ο α υμων εμου ακουει και ο αθετων υμασ εμε αθετει ο δε εμε αθετων αθετει τον αποστειλαν με ,ο ακουων υμιν ε ακουει και ο αθετων υμασ εμε αθετει ο δε εμε αθετων αθετει τον απο με ,ακουων υμων,ακουων υμων,ακουων υμων,ακουων υμων,ο ακουων ημων υμων εμου ακουει και ο αθετων υμασ εμε αθετει ο δε εμε αθε αθετει τον αποστειλαντα με ,-1,ακουων υμων,ακουων υμων,ακουων υμων,ακουων υμων
10:31,-1,με,με,με,με,-1,-1,-1,-1,-1,-1,-1,-1,-1,με,με,με,με και ο ακουων εμου ακουει του αποστειλαντοσ με,με,με,με,με,-1,με,με,με,με
10:32,-1,μετα χαρασ οι εβδομηκοντα,υπεστρεψαν δε οι εβδο δυο μετα χα λεγοντεσ κυριε και τα δαιμονια υποτασσε ημιν εν τω ονομα σου ,οι εβδομηκοντα μετα χαρασ,υπεστρεψαν δε οι οβ μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημειν εν τω ονοματι σου ,-1,-1,-1,-1,-1,-1,-1,-1,-1,υπεστρεψα δε ο οβ μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημιν εν τωι ονοματι σου ,υπεστρεψαν δε οι οβ με χαρασ λεγοντεσ κυριε και τα δαι υποτασσεται ημιν εν τω ονοματι σου ,υπεστρεψαν δε οι ευδο μετα χαρασ λεγοντεσ κυριε και τα δαιμονια ημιν υποτασσεται εν τω ο σου ,υπεστρεψαν δε οι εβδο μετα χαρασ μεγαλησ λεγοντεσ κυριε και τα δαιμονια υπο υμιν εν τω ονοματι σου ,οι εβδομηκοντα μετα χαρασ,οι εβδομηκοντα μετα χαρασ,οι εβδομηκοντα μετα χαρασ,υπεστρεψαν δε οι εβ μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημιν εν τω ονοματι σου ,-1,οι εβδομηκοντα μετα χαρασ,οι εβδομηκοντα μετα χαρασ,υπεστρεψαν δε οι εβδομηκοντα δυο μετα χαρασ λεγοντεσ κυριε και τα δαιμονια υποτασσεται ημιν εν τω ονοματι σου ,οι εβδομηκοντα μετα χαρασ
